Year,MID_LATITUDE,SEX,LENGTH,CLUTCH_SIZE
1982,57.01267,2,97,6
1982,57.01267,2,152,1
1982,57.01267,2,117,6
1982,57.01267,2,124,1
1982,57.01267,2,120,1
1982,57.01267,2,103,6
1982,57.01267,2,129,0
1982,57.01267,2,95,1
1982,57.01267,2,114,6
1982,57.147,2,131,1
1982,57.147,2,121,1
1982,57.147,2,134,1
1982,57.147,2,120,6
1982,57.147,2,121,1
1982,57.147,2,122,1
1982,57.147,2,124,6
1982,57.147,2,114,6
1982,57.147,2,100,1
1982,57.147,2,117,6
1982,57.147,2,117,6
1982,57.147,2,127,1
1982,57.147,2,90,1
1982,57.147,2,123,6
1982,57.147,2,120,1
1982,57.147,2,120,1
1982,57.147,2,126,1
1982,57.147,2,125,6
1982,57.147,2,112,1
1982,57.147,2,73,0
1982,57.147,2,116,6
1982,57.147,2,125,6
1982,57.147,2,120,6
1982,57.147,2,70,0
1982,57.147,2,121,1
1982,57.147,2,118,1
1982,57.147,2,145,1
1982,57.147,2,138,1
1982,57.147,2,129,1
1982,57.147,2,108,6
1982,57.147,2,111,0
1982,57.147,2,129,1
1982,57.147,2,109,1
1982,57.147,2,120,1
1982,57.147,2,123,1
1982,57.147,2,138,1
1982,57.147,2,123,1
1982,57.147,2,118,1
1982,57.147,2,123,6
1982,57.147,2,117,1
1982,57.147,2,134,1
1982,57.147,2,130,6
1982,57.147,2,145,1
1982,57.147,2,124,1
1982,57.147,2,112,1
1982,57.147,2,129,1
1982,57.147,2,122,1
1982,57.147,2,141,1
1982,57.147,2,128,1
1982,57.147,2,132,1
1982,57.147,2,128,6
1982,57.147,2,124,6
1982,57.147,2,121,1
1982,57.147,2,136,1
1982,57.147,2,118,6
1982,57.147,2,135,1
1982,57.147,2,135,1
1982,57.147,2,117,6
1982,57.147,2,128,1
1982,57.147,2,122,1
1982,57.147,2,121,6
1982,57.147,2,105,6
1982,57.147,2,120,1
1982,57.147,2,127,1
1982,57.147,2,126,1
1982,57.147,2,148,1
1982,57.147,2,140,1
1982,57.147,2,120,1
1982,57.147,2,122,1
1982,57.147,2,123,1
1982,57.147,2,138,1
1982,57.147,2,138,1
1982,57.147,2,116,6
1982,57.147,2,127,1
1982,57.147,2,132,1
1982,57.147,2,123,1
1982,57.147,2,138,1
1982,57.147,2,81,0
1982,57.147,2,117,1
1982,57.147,2,142,1
1982,57.147,2,130,6
1982,57.147,2,120,1
1982,57.147,2,114,1
1982,57.147,2,131,1
1982,57.147,2,124,1
1982,57.147,2,120,1
1982,57.147,2,120,0
1982,57.147,2,121,6
1982,57.147,2,128,1
